time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
7,0,0.5,-0.4,4.300000000000001,-35.4,-34,wait,wait_1
120,-0.7000000000000001,0.4,0.2,17.5,-27.2,-29.800000000000004,wait,wait_1
220,-0.7000000000000001,0.4,0,11.700000000000001,-25.900000000000002,-22.2,wait,wait_1
320,-0.2,0.1,-0.4,2.1,-13.100000000000001,-20.5,wait,wait_1
420,1.1,-0.4,0,-18.200000000000003,-31.9,-8.600000000000001,wait,wait_1
520,1.5,0,-0.2,-34.400000000000006,-31.099999999999998,-28.3,wait,wait_1
620,3.2,-1.7000000000000002,1.1,-37.400000000000006,-58.60000000000001,-40.6,wait,wait_1
720,2,-0.1,0.6000000000000001,-0.9000000000000001,-16.8,-37.300000000000004,wait,wait_1
820,0.7000000000000001,0.4,0.6000000000000001,6.600000000000001,-11.2,-33.400000000000006,wait,wait_1
920,0.5,0,0.1,12.4,-13.5,-18.700000000000003,wait,wait_1
1020,-0.1,0.30000000000000004,0.2,3.1,-0.8,-15.899999999999999,wait,wait_1
1120,0.4,0.2,-0.1,12.9,3.6000000000000005,-7.500000000000001,wait,wait_1
1220,0.4,0.30000000000000004,0.4,8.5,6.600000000000001,11.3,wait,wait_1
1320,0.6000000000000001,0.6000000000000001,0.2,-18.4,16.700000000000003,-19.5,wait,wait_1
1420,0.1,-0.1,-0.1,18.900000000000002,5.6,-3.5,wait,wait_1
1520,-0.1,-0.4,0.4,2.3,-0.5,12.7,wait,wait_1
1620,0,0.2,-0.1,0.2,8.8,14.800000000000002,wait,wait_1
1720,-0.8,-0.1,-0.4,3,25.900000000000002,11.5,wait,wait_1
1820,-0.8,-0.4,0.4,-20.3,8.700000000000001,2.3,wait,wait_1
1920,-0.7000000000000001,0.1,-0.1,20.3,18.5,39.400000000000006,wait,wait_1
2020,-0.6000000000000001,-0.30000000000000004,-0.30000000000000004,-24.400000000000002,10.1,17.799999999999997,wait,wait_1
2120,0.2,0.30000000000000004,0.9,14.800000000000002,20.3,32,wait,wait_1
2220,0.9,0.8,0,-13.399999999999999,-8,4.9,wait,wait_1
2320,0.30000000000000004,0.30000000000000004,-0.5,23.700000000000003,-12.100000000000001,-16.200000000000003,wait,wait_1
2420,-0.2,0.30000000000000004,-0.2,-16.900000000000002,-16.700000000000003,-17.9,wait,wait_1
2520,-0.5,0.30000000000000004,0.7000000000000001,9.8,-23.400000000000002,-37.300000000000004,wait,wait_1
2620,-0.2,0.1,-0.1,1.2000000000000002,-14.600000000000001,-39.50000000000001,wait,wait_1
2720,0.2,-0.2,0.4,-7.300000000000001,-10.1,-31,wait,wait_1
2820,0.6000000000000001,-0.30000000000000004,-0.1,-20,-17.799999999999997,-31.400000000000002,wait,wait_1
6,-0.4,-0.2,0.2,-6.2,2,11.000000000000002,left,left_1
106,-0.2,0,0.2,-5,6.1000000000000005,18.200000000000003,left,left_1
206,-0.30000000000000004,-0.1,-0.1,-7.500000000000001,13.399999999999999,23.3,left,left_1
306,-0.5,-0.2,0.30000000000000004,-14.200000000000001,19.200000000000003,33.1,left,left_1
408,-0.7000000000000001,-0.2,-0.1,-20.8,24.900000000000002,49.800000000000004,left,left_1
524,-0.7000000000000001,0,0.6000000000000001,-13.399999999999999,20.900000000000002,65.2,left,left_1
624,-0.2,-0.5,1.2000000000000002,-3.5,21.900000000000002,65.5,left,left_1
724,0.2,-0.4,0.2,4.7,22.1,70.8,left,left_1
840,0.30000000000000004,-0.1,0.4,6.4,13.5,62.900000000000006,left,left_1
940,-0.1,-0.2,-0.1,1.3,17.300000000000004,49.9,left,left_1
1057,-0.1,-0.4,0.5,-4.300000000000001,20.3,44.4,left,left_1
1157,0.7000000000000001,-0.1,0.30000000000000004,0.8,17.200000000000003,42.900000000000006,left,left_1
1273,0.9,0.2,-0.4,3.5,18.4,28.800000000000004,left,left_1
1374,0.6000000000000001,0,0.6000000000000001,-16.8,12,27.3,left,left_1
1489,0.5,0.6000000000000001,0.6000000000000001,10.1,9.5,46.9,left,left_1
1590,0.4,-0.4,-0.9,-4,13.8,44.9,left,left_1
1706,0.4,-0.5,0.8,-8.899999999999999,17.799999999999997,56.300000000000004,left,left_1
1823,1,0.1,-0.6000000000000001,-8,10.200000000000001,54,left,left_1
1923,0.2,0.5,0.9,-5.1000000000000005,13.100000000000001,31.099999999999998,left,left_1
2039,0.2,0,-0.7000000000000001,-0.8,8.2,12.4,left,left_1
2139,-0.7000000000000001,0.30000000000000004,0.30000000000000004,-5.4,4.300000000000001,2.4000000000000004,left,left_1
2239,-0.7000000000000001,0.4,0.5,2.2,3.8,1.1,left,left_1
2339,-0.4,0.30000000000000004,-0.2,8.899999999999999,1.8000000000000003,2,left,left_1
2439,-0.6000000000000001,0.2,0,4.300000000000001,0.2,-1.3,left,left_1
2556,-0.30000000000000004,0.1,0.2,1.8000000000000003,0.9000000000000001,5.7,left,left_1
2656,0.2,0.30000000000000004,-0.4,-1.5,-0.2,5.8,left,left_1
2772,0,0.2,0.1,-1.8000000000000003,2.5,-0.7,left,left_1
2872,0.1,0,0,-3.7000000000000006,2.2,2.9,left,left_1
2,-0.5,0.1,0,-10.5,15.100000000000001,27.099999999999998,left,left_2
117,-0.6000000000000001,-0.5,0,-15.8,29.400000000000002,54.300000000000004,left,left_2
217,-0.2,-0.6000000000000001,-0.4,-22.000000000000004,35.8,71.39999999999999,left,left_2
317,-0.2,-0.30000000000000004,0.5,-24.3,32.300000000000004,77.00000000000001,left,left_2
417,0.1,-0.1,0.8,-14.5,19.1,73.9,left,left_2
517,-0.1,-0.4,0.5,-5.300000000000001,18,62.50000000000001,left,left_2
617,0.2,-0.2,1.7000000000000002,-5.4,2.4000000000000004,64.4,left,left_2
717,0.5,0.30000000000000004,0.4,11.700000000000001,7,55.3,left,left_2
817,0.4,-0.2,-0.2,6.500000000000001,4.300000000000001,30.3,left,left_2
