time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
8,0,0,0,-8.100000000000001,-1.9,1.3,wait,wait_1
122,0.1,-0.1,0,-3.5,-1.5,-0.2,wait,wait_1
222,0,-0.1,0,-0.7,-2.4000000000000004,-0.30000000000000004,wait,wait_1
322,0,0,0,-1.2000000000000002,-0.30000000000000004,-1.7,wait,wait_1
422,0,0,0,3.9,2.2,-1.4,wait,wait_1
522,0,0,0,-0.30000000000000004,-2.9,-2,wait,wait_1
622,0,0,0,-1.4,-1.2000000000000002,-2,wait,wait_1
722,0,0,0,3.2,0.4,-1,wait,wait_1
822,0,0,0,-1.1,-4,0.4,wait,wait_1
922,0,0,0,-1.2000000000000002,0.6000000000000001,0.6000000000000001,wait,wait_1
1022,0,0,0,1.7,3.6000000000000005,0.2,wait,wait_1
1122,0,0,0,2.1,3.1,-2.6,wait,wait_1
1225,0,0,0,1.5,0.6000000000000001,-0.8,wait,wait_1
1338,0,0,0,1,1.3,-1.7,wait,wait_1
1438,0,0,0,2.5,2.1,-4.2,wait,wait_1
1538,0,0,0,0.7,-4.4,-4,wait,wait_1
1638,0,0,0,0.8,-0.2,-0.7,wait,wait_1
1738,0,0,0,-0.4,0.2,-0.30000000000000004,wait,wait_1
1838,0,0,0,0.5,-2.4000000000000004,-1.5,wait,wait_1
1938,0,0,0,2.7,2,1.5,wait,wait_1
2038,0,0,0,0.9000000000000001,0.7,0.7,wait,wait_1
2138,0,0,0,-0.1,-1.1,-1.7,wait,wait_1
2238,0,0,0,0.6000000000000001,-1.4,-1.1,wait,wait_1
2338,0,0,0,0.6000000000000001,1.6,-2.6,wait,wait_1
2438,0,0,0,-2.6,-0.7,-0.9000000000000001,wait,wait_1
2538,0,0,0,1.1,0.7,0,wait,wait_1
2638,0,0,0,1.9,3.4,0,wait,wait_1
2738,0,0,0,-0.4,0.4,0.5,wait,wait_1
