time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
7,0.30000000000000004,0.1,0.30000000000000004,-13.000000000000002,-6,5,wait,wait_1
119,0,0.1,-0.1,-17.5,7.8,-3.9,wait,wait_1
219,-0.1,-0.1,0.2,15.5,-8.4,4.6,wait,wait_1
319,0,-0.2,-0.4,-10.299999999999999,-2.2,-2.5,wait,wait_1
420,0,0,0,-10.5,2.3,1.5,wait,wait_1
520,-0.2,0,0.5,0.1,-2.6,0.1,wait,wait_1
620,0,0,-0.30000000000000004,7.1000000000000005,-7.400000000000001,0.5,wait,wait_1
736,0,-0.1,0,-2.1,1.9,-2.3,wait,wait_1
837,0,-0.1,0,-1.8000000000000003,0.2,-1.8000000000000003,wait,wait_1
952,0.30000000000000004,0,-0.1,-3.8,0.8,-4.2,wait,wait_1
1053,-0.2,-0.1,0.1,0.9000000000000001,-0.2,-3,wait,wait_1
1169,0,-0.1,-0.2,0,1.7,-0.2,wait,wait_1
1269,0,0,-0.1,-0.6000000000000001,-0.30000000000000004,0.5,wait,wait_1
1369,0,0.1,0,3,-1.9,0.9000000000000001,wait,wait_1
1469,0,-0.1,0,-0.2,-0.8,0.5,wait,wait_1
1570,0,0.1,-0.2,1,0.1,1.1,wait,wait_1
1670,0,0,0,0.1,2.2,0.4,wait,wait_1
1770,0.1,0,-0.1,-1.3,-0.4,-0.30000000000000004,wait,wait_1
1885,0.1,0.1,0,2.3,-2.9,-0.1,wait,wait_1
1985,-0.1,0,0.1,0.8,-0.1,-0.6000000000000001,wait,wait_1
2086,0,0,-0.2,-0.8,1.5,0.4,wait,wait_1
2186,0,0,0,-0.4,0.4,0.30000000000000004,wait,wait_1
2303,0.2,0,-0.1,-0.7,0,-0.2,wait,wait_1
2404,0.1,0,0,-0.1,-3.1,-0.8,wait,wait_1
2504,0,-0.1,0.1,0.7,-1,-0.30000000000000004,wait,wait_1
2,0.30000000000000004,-0.2,0,-3.2,-6.300000000000001,2.2,left,left_1
116,0.2,0,0,-0.1,-4.7,4.9,left,left_1
217,0.5,-0.1,-0.30000000000000004,-1.1,6.2,7.500000000000001,left,left_1
317,0,0,0.1,-11.6,12.8,11.1,left,left_1
417,-0.2,0.1,-0.4,1.9,10.200000000000001,23.6,left,left_1
520,0.30000000000000004,0,0,-2.7,9.600000000000001,34.60000000000001,left,left_1
635,0.2,-0.1,-0.2,-3.6000000000000005,15.399999999999999,39.9,left,left_1
735,0.4,-0.1,-0.2,-0.1,13.700000000000001,43.800000000000004,left,left_1
